language,article,timestamp,views
en,Ambient intelligence,2021-09-01T00:00:00,1934
en,Ambient intelligence,2021-10-01T00:00:00,2303
en,Ambient intelligence,2021-11-01T00:00:00,2206
en,Ambient intelligence,2021-12-01T00:00:00,1978
en,Ambient intelligence,2022-01-01T00:00:00,1839
en,Ambient intelligence,2022-02-01T00:00:00,1860
en,Ambient intelligence,2022-03-01T00:00:00,1694
en,Ambient intelligence,2022-04-01T00:00:00,1772
en,Ambient intelligence,2022-05-01T00:00:00,1812
en,Ambient intelligence,2022-06-01T00:00:00,1771
en,Ambient intelligence,2022-07-01T00:00:00,1470
en,Ambient intelligence,2022-08-01T00:00:00,1379
en,Ambient intelligence,2022-09-01T00:00:00,1923
en,Ambient intelligence,2022-10-01T00:00:00,2029
en,Ambient intelligence,2022-11-01T00:00:00,1878
en,Ambient intelligence,2022-12-01T00:00:00,1690
en,Ambient intelligence,2023-01-01T00:00:00,1732
en,Ambient intelligence,2023-02-01T00:00:00,1462
en,Ambient intelligence,2023-03-01T00:00:00,1485
en,Ambient intelligence,2023-04-01T00:00:00,1408
en,Ambient intelligence,2023-05-01T00:00:00,1378
en,Ambient intelligence,2023-06-01T00:00:00,1342
en,Ambient intelligence,2023-07-01T00:00:00,2180
en,Ambient intelligence,2023-08-01T00:00:00,1526
en,Ambient intelligence,2023-09-01T00:00:00,1326
en,Ambient intelligence,2023-10-01T00:00:00,1309
en,Ambient intelligence,2023-11-01T00:00:00,1347
en,Ambient intelligence,2023-12-01T00:00:00,1163
en,Ambient intelligence,2024-01-01T00:00:00,1364
en,Ambient intelligence,2024-02-01T00:00:00,1304
en,Ambient intelligence,2024-03-01T00:00:00,1479
en,Ambient intelligence,2024-04-01T00:00:00,1328
en,Ambient intelligence,2024-05-01T00:00:00,1368
en,Ambient intelligence,2024-06-01T00:00:00,1007
en,Ambient intelligence,2024-07-01T00:00:00,1048
en,Ambient intelligence,2024-08-01T00:00:00,962
en,Ambient intelligence,2024-09-01T00:00:00,1140
en,Ambient intelligence,2024-10-01T00:00:00,1236
en,Ambient intelligence,2024-11-01T00:00:00,1201
en,Ambient intelligence,2024-12-01T00:00:00,1128
en,Ambient intelligence,2025-01-01T00:00:00,1252
en,Ambient intelligence,2025-02-01T00:00:00,986
en,Ambient intelligence,2025-03-01T00:00:00,1049
en,Ambient intelligence,2025-04-01T00:00:00,920
en,Ambient intelligence,2025-05-01T00:00:00,966
en,Ambient intelligence,2025-06-01T00:00:00,1013
en,Ambient intelligence,2025-07-01T00:00:00,927
en,Ambient intelligence,2025-08-01T00:00:00,978
en,Ambient intelligence,2025-09-01T00:00:00,809
en,Ambient intelligence,2025-10-01T00:00:00,843
en,Ambient intelligence,2025-11-01T00:00:00,903
en,Ambient intelligence,2025-12-01T00:00:00,945
en,Ambient intelligence,2026-01-01T00:00:00,985
en,Ambient intelligence,2026-02-01T00:00:00,944
en,Ambient intelligence,2026-03-01T00:00:00,1005
en,Ambient intelligence,2026-04-01T00:00:00,837
en,Ambient intelligence,2026-05-01T00:00:00,975
en,Ambient intelligence,2026-06-01T00:00:00,808
en,Ambient intelligence,2026-07-01T00:00:00,808
en,Ambient intelligence,2026-08-01T00:00:00,732
de,Ambient Intelligence,2021-09-01T00:00:00,142
de,Ambient Intelligence,2021-10-01T00:00:00,187
de,Ambient Intelligence,2021-11-01T00:00:00,177
de,Ambient Intelligence,2021-12-01T00:00:00,114
de,Ambient Intelligence,2022-01-01T00:00:00,169
de,Ambient Intelligence,2022-02-01T00:00:00,124
de,Ambient Intelligence,2022-03-01T00:00:00,150
de,Ambient Intelligence,2022-04-01T00:00:00,127
de,Ambient Intelligence,2022-05-01T00:00:00,150
de,Ambient Intelligence,2022-06-01T00:00:00,106
de,Ambient Intelligence,2022-07-01T00:00:00,103
de,Ambient Intelligence,2022-08-01T00:00:00,106
de,Ambient Intelligence,2022-09-01T00:00:00,104
de,Ambient Intelligence,2022-10-01T00:00:00,175
de,Ambient Intelligence,2022-11-01T00:00:00,126
de,Ambient Intelligence,2022-12-01T00:00:00,93
de,Ambient Intelligence,2023-01-01T00:00:00,101
de,Ambient Intelligence,2023-02-01T00:00:00,96
de,Ambient Intelligence,2023-03-01T00:00:00,103
de,Ambient Intelligence,2023-04-01T00:00:00,83
de,Ambient Intelligence,2023-05-01T00:00:00,79
de,Ambient Intelligence,2023-06-01T00:00:00,79
de,Ambient Intelligence,2023-07-01T00:00:00,68
de,Ambient Intelligence,2023-08-01T00:00:00,67
de,Ambient Intelligence,2023-09-01T00:00:00,89
de,Ambient Intelligence,2023-10-01T00:00:00,87
de,Ambient Intelligence,2023-11-01T00:00:00,114
de,Ambient Intelligence,2023-12-01T00:00:00,95
de,Ambient Intelligence,2024-01-01T00:00:00,81
de,Ambient Intelligence,2024-02-01T00:00:00,112
de,Ambient Intelligence,2024-03-01T00:00:00,89
de,Ambient Intelligence,2024-04-01T00:00:00,100
de,Ambient Intelligence,2024-05-01T00:00:00,88
de,Ambient Intelligence,2024-06-01T00:00:00,88
de,Ambient Intelligence,2024-07-01T00:00:00,78
de,Ambient Intelligence,2024-08-01T00:00:00,77
de,Ambient Intelligence,2024-09-01T00:00:00,80
de,Ambient Intelligence,2024-10-01T00:00:00,86
de,Ambient Intelligence,2024-11-01T00:00:00,86
de,Ambient Intelligence,2024-12-01T00:00:00,77
de,Ambient Intelligence,2025-01-01T00:00:00,100
de,Ambient Intelligence,2025-02-01T00:00:00,119
de,Ambient Intelligence,2025-03-01T00:00:00,108
de,Ambient Intelligence,2025-04-01T00:00:00,74
de,Ambient Intelligence,2025-05-01T00:00:00,65
de,Ambient Intelligence,2025-06-01T00:00:00,49
de,Ambient Intelligence,2025-07-01T00:00:00,51
de,Ambient Intelligence,2025-08-01T00:00:00,69
de,Ambient Intelligence,2025-09-01T00:00:00,44
de,Ambient Intelligence,2025-10-01T00:00:00,62
de,Ambient Intelligence,2025-11-01T00:00:00,50
de,Ambient Intelligence,2025-12-01T00:00:00,32
de,Ambient Intelligence,2026-01-01T00:00:00,36
de,Ambient Intelligence,2026-02-01T00:00:00,47
de,Ambient Intelligence,2026-03-01T00:00:00,41
de,Ambient Intelligence,2026-04-01T00:00:00,43
de,Ambient Intelligence,2026-05-01T00:00:00,40
de,Ambient Intelligence,2026-06-01T00:00:00,57
de,Ambient Intelligence,2026-07-01T00:00:00,37
de,Ambient Intelligence,2026-08-01T00:00:00,55
