language,article,timestamp,views
en,Home server,2021-09-01T00:00:00,1573
en,Home server,2021-10-01T00:00:00,1643
en,Home server,2021-11-01T00:00:00,1599
en,Home server,2021-12-01T00:00:00,1792
en,Home server,2022-01-01T00:00:00,1965
en,Home server,2022-02-01T00:00:00,1657
en,Home server,2022-03-01T00:00:00,1496
en,Home server,2022-04-01T00:00:00,1431
en,Home server,2022-05-01T00:00:00,1104
en,Home server,2022-06-01T00:00:00,1107
en,Home server,2022-07-01T00:00:00,1092
en,Home server,2022-08-01T00:00:00,1124
en,Home server,2022-09-01T00:00:00,1087
en,Home server,2022-10-01T00:00:00,1179
en,Home server,2022-11-01T00:00:00,1317
en,Home server,2022-12-01T00:00:00,1443
en,Home server,2023-01-01T00:00:00,1450
en,Home server,2023-02-01T00:00:00,1296
en,Home server,2023-03-01T00:00:00,1365
en,Home server,2023-04-01T00:00:00,1149
en,Home server,2023-05-01T00:00:00,1113
en,Home server,2023-06-01T00:00:00,1212
en,Home server,2023-07-01T00:00:00,1137
en,Home server,2023-08-01T00:00:00,1073
en,Home server,2023-09-01T00:00:00,1206
en,Home server,2023-10-01T00:00:00,1444
en,Home server,2023-11-01T00:00:00,1419
en,Home server,2023-12-01T00:00:00,1845
en,Home server,2024-01-01T00:00:00,1508
en,Home server,2024-02-01T00:00:00,1386
en,Home server,2024-03-01T00:00:00,1303
en,Home server,2024-04-01T00:00:00,1501
en,Home server,2024-05-01T00:00:00,1564
en,Home server,2024-06-01T00:00:00,1555
en,Home server,2024-07-01T00:00:00,1886
en,Home server,2024-08-01T00:00:00,1485
en,Home server,2024-09-01T00:00:00,1901
en,Home server,2024-10-01T00:00:00,2001
en,Home server,2024-11-01T00:00:00,1734
en,Home server,2024-12-01T00:00:00,1771
en,Home server,2025-01-01T00:00:00,2220
en,Home server,2025-02-01T00:00:00,1723
en,Home server,2025-03-01T00:00:00,2021
en,Home server,2025-04-01T00:00:00,1790
en,Home server,2025-05-01T00:00:00,1557
en,Home server,2025-06-01T00:00:00,1280
en,Home server,2025-07-01T00:00:00,1475
en,Home server,2025-08-01T00:00:00,1557
en,Home server,2025-09-01T00:00:00,1392
en,Home server,2025-10-01T00:00:00,1557
en,Home server,2025-11-01T00:00:00,1505
en,Home server,2025-12-01T00:00:00,1370
en,Home server,2026-01-01T00:00:00,1252
en,Home server,2026-02-01T00:00:00,1396
en,Home server,2026-03-01T00:00:00,1257
en,Home server,2026-04-01T00:00:00,1299
en,Home server,2026-05-01T00:00:00,1119
en,Home server,2026-06-01T00:00:00,1186
en,Home server,2026-07-01T00:00:00,1164
en,Home server,2026-08-01T00:00:00,1184
de,Microsoft Windows,2021-09-01T00:00:00,19839
de,Microsoft Windows,2021-10-01T00:00:00,23480
de,Microsoft Windows,2021-11-01T00:00:00,21498
de,Microsoft Windows,2021-12-01T00:00:00,19383
de,Microsoft Windows,2022-01-01T00:00:00,22626
de,Microsoft Windows,2022-02-01T00:00:00,17903
de,Microsoft Windows,2022-03-01T00:00:00,15916
de,Microsoft Windows,2022-04-01T00:00:00,16668
de,Microsoft Windows,2022-05-01T00:00:00,15810
de,Microsoft Windows,2022-06-01T00:00:00,15027
de,Microsoft Windows,2022-07-01T00:00:00,15252
de,Microsoft Windows,2022-08-01T00:00:00,17231
de,Microsoft Windows,2022-09-01T00:00:00,18398
de,Microsoft Windows,2022-10-01T00:00:00,20790
de,Microsoft Windows,2022-11-01T00:00:00,20442
de,Microsoft Windows,2022-12-01T00:00:00,17898
de,Microsoft Windows,2023-01-01T00:00:00,23147
de,Microsoft Windows,2023-02-01T00:00:00,19509
de,Microsoft Windows,2023-03-01T00:00:00,20448
de,Microsoft Windows,2023-04-01T00:00:00,17597
de,Microsoft Windows,2023-05-01T00:00:00,15080
de,Microsoft Windows,2023-06-01T00:00:00,14106
de,Microsoft Windows,2023-07-01T00:00:00,15564
de,Microsoft Windows,2023-08-01T00:00:00,14869
de,Microsoft Windows,2023-09-01T00:00:00,14136
de,Microsoft Windows,2023-10-01T00:00:00,14027
de,Microsoft Windows,2023-11-01T00:00:00,15396
de,Microsoft Windows,2023-12-01T00:00:00,14347
de,Microsoft Windows,2024-01-01T00:00:00,17017
de,Microsoft Windows,2024-02-01T00:00:00,15053
de,Microsoft Windows,2024-03-01T00:00:00,13298
de,Microsoft Windows,2024-04-01T00:00:00,13062
de,Microsoft Windows,2024-05-01T00:00:00,11150
de,Microsoft Windows,2024-06-01T00:00:00,10619
de,Microsoft Windows,2024-07-01T00:00:00,11914
de,Microsoft Windows,2024-08-01T00:00:00,11443
de,Microsoft Windows,2024-09-01T00:00:00,11943
de,Microsoft Windows,2024-10-01T00:00:00,13752
de,Microsoft Windows,2024-11-01T00:00:00,14091
de,Microsoft Windows,2024-12-01T00:00:00,13657
de,Microsoft Windows,2025-01-01T00:00:00,18476
de,Microsoft Windows,2025-02-01T00:00:00,14255
de,Microsoft Windows,2025-03-01T00:00:00,14570
de,Microsoft Windows,2025-04-01T00:00:00,11799
de,Microsoft Windows,2025-05-01T00:00:00,9413
de,Microsoft Windows,2025-06-01T00:00:00,7908
de,Microsoft Windows,2025-07-01T00:00:00,9007
de,Microsoft Windows,2025-08-01T00:00:00,10553
de,Microsoft Windows,2025-09-01T00:00:00,11816
de,Microsoft Windows,2025-10-01T00:00:00,13580
de,Microsoft Windows,2025-11-01T00:00:00,12073
de,Microsoft Windows,2025-12-01T00:00:00,9627
de,Microsoft Windows,2026-01-01T00:00:00,10197
de,Microsoft Windows,2026-02-01T00:00:00,9162
de,Microsoft Windows,2026-03-01T00:00:00,8533
de,Microsoft Windows,2026-04-01T00:00:00,7987
de,Microsoft Windows,2026-05-01T00:00:00,7592
de,Microsoft Windows,2026-06-01T00:00:00,6812
de,Microsoft Windows,2026-07-01T00:00:00,6114
de,Microsoft Windows,2026-08-01T00:00:00,7018
pl,Windows Home Server,2021-09-01T00:00:00,156
pl,Windows Home Server,2021-10-01T00:00:00,175
pl,Windows Home Server,2021-11-01T00:00:00,170
pl,Windows Home Server,2021-12-01T00:00:00,124
pl,Windows Home Server,2022-01-01T00:00:00,123
pl,Windows Home Server,2022-02-01T00:00:00,132
pl,Windows Home Server,2022-03-01T00:00:00,115
pl,Windows Home Server,2022-04-01T00:00:00,104
pl,Windows Home Server,2022-05-01T00:00:00,92
pl,Windows Home Server,2022-06-01T00:00:00,102
pl,Windows Home Server,2022-07-01T00:00:00,88
pl,Windows Home Server,2022-08-01T00:00:00,63
pl,Windows Home Server,2022-09-01T00:00:00,140
pl,Windows Home Server,2022-10-01T00:00:00,104
pl,Windows Home Server,2022-11-01T00:00:00,109
pl,Windows Home Server,2022-12-01T00:00:00,120
pl,Windows Home Server,2023-01-01T00:00:00,105
pl,Windows Home Server,2023-02-01T00:00:00,187
pl,Windows Home Server,2023-03-01T00:00:00,103
pl,Windows Home Server,2023-04-01T00:00:00,94
pl,Windows Home Server,2023-05-01T00:00:00,89
pl,Windows Home Server,2023-06-01T00:00:00,71
pl,Windows Home Server,2023-07-01T00:00:00,81
pl,Windows Home Server,2023-08-01T00:00:00,62
pl,Windows Home Server,2023-09-01T00:00:00,98
pl,Windows Home Server,2023-10-01T00:00:00,108
pl,Windows Home Server,2023-11-01T00:00:00,79
pl,Windows Home Server,2023-12-01T00:00:00,72
pl,Windows Home Server,2024-01-01T00:00:00,98
pl,Windows Home Server,2024-02-01T00:00:00,76
pl,Windows Home Server,2024-03-01T00:00:00,89
pl,Windows Home Server,2024-04-01T00:00:00,61
pl,Windows Home Server,2024-05-01T00:00:00,63
pl,Windows Home Server,2024-06-01T00:00:00,56
pl,Windows Home Server,2024-07-01T00:00:00,59
pl,Windows Home Server,2024-08-01T00:00:00,58
pl,Windows Home Server,2024-09-01T00:00:00,71
pl,Windows Home Server,2024-10-01T00:00:00,69
