language,article,timestamp,views
en,Self-hosting,2021-09-01T00:00:00,509
en,Self-hosting,2021-10-01T00:00:00,434
en,Self-hosting,2021-11-01T00:00:00,454
en,Self-hosting,2021-12-01T00:00:00,436
en,Self-hosting,2022-01-01T00:00:00,449
en,Self-hosting,2022-02-01T00:00:00,388
en,Self-hosting,2022-03-01T00:00:00,389
en,Self-hosting,2022-04-01T00:00:00,377
en,Self-hosting,2022-05-01T00:00:00,447
en,Self-hosting,2022-06-01T00:00:00,434
en,Self-hosting,2022-07-01T00:00:00,435
en,Self-hosting,2022-08-01T00:00:00,461
en,Self-hosting,2022-09-01T00:00:00,416
en,Self-hosting,2022-10-01T00:00:00,436
en,Self-hosting,2022-11-01T00:00:00,433
en,Self-hosting,2022-12-01T00:00:00,528
en,Self-hosting,2023-01-01T00:00:00,468
en,Self-hosting,2023-02-01T00:00:00,434
en,Self-hosting,2023-03-01T00:00:00,400
en,Self-hosting,2023-04-01T00:00:00,423
en,Self-hosting,2023-05-01T00:00:00,390
en,Self-hosting,2023-06-01T00:00:00,416
en,Self-hosting,2023-07-01T00:00:00,383
en,Self-hosting,2023-08-01T00:00:00,293
en,Self-hosting,2023-09-01T00:00:00,312
en,Self-hosting,2023-10-01T00:00:00,328
en,Self-hosting,2023-11-01T00:00:00,310
en,Self-hosting,2023-12-01T00:00:00,307
en,Self-hosting,2024-01-01T00:00:00,417
en,Self-hosting,2024-02-01T00:00:00,297
en,Self-hosting,2024-03-01T00:00:00,318
en,Self-hosting,2024-04-01T00:00:00,330
en,Self-hosting,2024-05-01T00:00:00,425
en,Self-hosting,2024-06-01T00:00:00,287
en,Self-hosting,2024-07-01T00:00:00,353
en,Self-hosting,2024-08-01T00:00:00,247
en,Self-hosting,2024-09-01T00:00:00,229
en,Self-hosting,2024-10-01T00:00:00,269
en,Self-hosting,2024-11-01T00:00:00,228
en,Self-hosting,2024-12-01T00:00:00,250
en,Self-hosting,2025-01-01T00:00:00,272
en,Self-hosting,2025-02-01T00:00:00,292
en,Self-hosting,2025-03-01T00:00:00,251
en,Self-hosting,2025-04-01T00:00:00,235
en,Self-hosting,2025-05-01T00:00:00,226
en,Self-hosting,2025-06-01T00:00:00,275
en,Self-hosting,2025-07-01T00:00:00,279
en,Self-hosting,2025-08-01T00:00:00,327
en,Self-hosting,2025-09-01T00:00:00,228
en,Self-hosting,2025-10-01T00:00:00,230
en,Self-hosting,2025-11-01T00:00:00,257
en,Self-hosting,2025-12-01T00:00:00,270
en,Self-hosting,2026-01-01T00:00:00,352
en,Self-hosting,2026-02-01T00:00:00,284
en,Self-hosting,2026-03-01T00:00:00,326
en,Self-hosting,2026-04-01T00:00:00,170
en,Self-hosting,2026-05-01T00:00:00,177
en,Self-hosting,2026-06-01T00:00:00,211
en,Self-hosting,2026-07-01T00:00:00,226
en,Self-hosting,2026-08-01T00:00:00,215
de,Selbstübersetzung (Compiler),2024-01-01T00:00:00,75
de,Selbstübersetzung (Compiler),2024-02-01T00:00:00,45
de,Selbstübersetzung (Compiler),2024-03-01T00:00:00,40
de,Selbstübersetzung (Compiler),2024-04-01T00:00:00,19
de,Selbstübersetzung (Compiler),2024-05-01T00:00:00,18
de,Selbstübersetzung (Compiler),2024-06-01T00:00:00,9
de,Selbstübersetzung (Compiler),2024-07-01T00:00:00,16
de,Selbstübersetzung (Compiler),2024-08-01T00:00:00,9
de,Selbstübersetzung (Compiler),2024-09-01T00:00:00,53
de,Selbstübersetzung (Compiler),2024-10-01T00:00:00,68
de,Selbstübersetzung (Compiler),2024-11-01T00:00:00,46
de,Selbstübersetzung (Compiler),2024-12-01T00:00:00,18
de,Selbstübersetzung (Compiler),2025-01-01T00:00:00,25
de,Selbstübersetzung (Compiler),2025-02-01T00:00:00,45
de,Selbstübersetzung (Compiler),2025-03-01T00:00:00,19
de,Selbstübersetzung (Compiler),2025-04-01T00:00:00,23
de,Selbstübersetzung (Compiler),2025-05-01T00:00:00,26
de,Selbstübersetzung (Compiler),2025-06-01T00:00:00,18
de,Selbstübersetzung (Compiler),2025-07-01T00:00:00,12
de,Selbstübersetzung (Compiler),2025-08-01T00:00:00,9
de,Selbstübersetzung (Compiler),2025-09-01T00:00:00,21
de,Selbstübersetzung (Compiler),2025-10-01T00:00:00,23
de,Selbstübersetzung (Compiler),2025-11-01T00:00:00,23
de,Selbstübersetzung (Compiler),2025-12-01T00:00:00,13
de,Selbstübersetzung (Compiler),2026-01-01T00:00:00,27
de,Selbstübersetzung (Compiler),2026-02-01T00:00:00,17
de,Selbstübersetzung (Compiler),2026-03-01T00:00:00,17
de,Selbstübersetzung (Compiler),2026-04-01T00:00:00,11
de,Selbstübersetzung (Compiler),2026-05-01T00:00:00,18
de,Selbstübersetzung (Compiler),2026-06-01T00:00:00,22
de,Selbstübersetzung (Compiler),2026-07-01T00:00:00,102
de,Selbstübersetzung (Compiler),2026-08-01T00:00:00,51
pl,Backend as a Service,2026-01-01T00:00:00,7
pl,Backend as a Service,2026-02-01T00:00:00,6
pl,Backend as a Service,2026-03-01T00:00:00,11
pl,Backend as a Service,2026-04-01T00:00:00,6
pl,Backend as a Service,2026-05-01T00:00:00,15
pl,Backend as a Service,2026-06-01T00:00:00,13
pl,Backend as a Service,2026-07-01T00:00:00,4
pl,Backend as a Service,2026-08-01T00:00:00,4
